Job Title,Company,Date Applied,Status
Senior Tools & Pipeline Technical Artist - League of Legends,Riot Games,2026-05-26,Applied (Confirmation received)
Technical Artist II - VALORANT,Riot Games,2026-05-24,Applied (Confirmation received)
Principal Technical Artist - Environment - Unpublished R&D Product,Riot Games,2026-03-26,Applied (Confirmation received)
Senior Technical Artist - Animation - Unpublished R&D Product,Riot Games,2026-03-26,Applied (Confirmation received)
Senior Technical Designer in Animation,Epic Games,2026-05-13,Rejected (Position filled/Not moving forward)
Senior Technical Animator,Epic Games,2026-05-13,Applied (Application request/Referral received)
Technical Artist,Epic Games,2026-04-08,Applied (Application request/Referral received)
Principal Character Technical Artist,31st Union,2026-05-26,Applied (Application received)
Senior Technical Artist - AI,Unity Technologies,2026-05-26,Applied (Application received)
Senior Technical Animator,Eleventh Hour Games,2026-05-25,Applied (Application received)
Principal Technical Artist - Games R&D - Tech Lab,Netflix,2026-05-11,Applied (Hiring team review in progress)
Sr. Technical Artist - Character and Animation Pipeline - Games,Netflix,Before 2026-04-24,Rejected (Pursued other candidates)
Senior II Technical Artist,Activision Blizzard King,2026-05-18,Applied (Confirmation received)
Advanced Environment Technical Artist,Warner Bros. Discovery,2026-03-25,Rejected (Pursued other candidates)
Senior Technical Artist,MobilityWare,2026-05-14,Interview Stage (Call scheduled for 2026-05-26)
Technical Artist (Senior/Principal),Stoke Games,Before 2026-04-01,Offer Stage (Offer Review scheduled for 2026-05-28)
Senior Tech Artist,Astrid Entertainment,2026-03-28,Interview Stage (Meeting held 2026-04-13)
Lead Technical Artist,1047 Games,Before 2026-03-30,Withdrawn by Candidate (Declined to pursue further on 2026-03-31)